county,state,pop_2010,pop_2018,pct_chg
Garfield,Montana,1192,1268,6.38
Hudson,New Jersey,635634,676061,6.36
Lawrence,South Dakota,24205,25741,6.35
Leavenworth,Kansas,76510,81352,6.33
Rockingham,Virginia,76407,81244,6.33
Bartow,Georgia,100087,106408,6.32
Kershaw,South Carolina,61706,65592,6.3
St. Croix,Wisconsin,84406,89694,6.26
Montgomery,Kentucky,26551,28203,6.22
Walker,Texas,68243,72480,6.21
Cumberland,Tennessee,56197,59673,6.19
Lee,North Carolina,57886,61452,6.16
Los Alamos,New Mexico,17994,19101,6.15
Jefferson,Washington,29891,31729,6.15
Clark,Indiana,110572,117360,6.14
St. Clair,Alabama,83566,88690,6.13
Rockdale,Georgia,85363,90594,6.13
Blaine,Idaho,21296,22601,6.13
Marshall,Oklahoma,15836,16806,6.13
Coconino,Arizona,134618,142854,6.12
Columbia,Oregon,49355,52377,6.12
Fayette,Georgia,106938,113459,6.1
Tillamook,Oregon,25254,26787,6.07
Essex,Massachusetts,745479,790638,6.06
Somervell,Texas,8501,9016,6.06
Lowndes,Georgia,109692,116321,6.04
Greene,Missouri,275303,291923,6.04
Jefferson,Montana,11408,12097,6.04
Monroe,Indiana,138560,146917,6.03
McLean,North Dakota,8998,9541,6.03
Oliver,North Dakota,1841,1952,6.03
Payne,Oklahoma,77399,82040,6
Leon,Florida,275969,292502,5.99
Woodford,Kentucky,25033,26533,5.99
Brown,Wisconsin,248484,263378,5.99
Jefferson,West Virginia,53606,56811,5.98
Camden,Georgia,50660,53677,5.96
Fairfax,Virginia,1086127,1150795,5.95
Victoria,Texas,86876,92035,5.94
Grady,Oklahoma,52441,55551,5.93
Pontotoc,Mississippi,30057,31833,5.91
Outagamie,Wisconsin,176913,187365,5.91
Roosevelt,Montana,10444,11059,5.89
King William,Virginia,15999,16939,5.88
Chelan,Washington,72756,77036,5.88
Escambia,Florida,298039,315534,5.87
Clear Creek,Colorado,9073,9605,5.86
Albany,Wyoming,36465,38601,5.86
Pima,Arizona,981653,1039073,5.85
LaGrange,Indiana,37158,39330,5.85
Onslow,North Carolina,186889,197683,5.78
Lebanon,Pennsylvania,133643,141314,5.74
Austin,Texas,28362,29989,5.74
Rogers,Oklahoma,87000,91984,5.73
Gem,Idaho,16687,17634,5.68
Custer,Oklahoma,27478,29036,5.67
Stearns,Minnesota,150754,159256,5.64
Grand Forks,North Dakota,66991,70770,5.64
Kalamazoo,Michigan,250746,264870,5.63
Orange,California,3016559,3185968,5.62
Anderson,Kentucky,21457,22663,5.62
Livingston,Michigan,181064,191224,5.61
Kerr,Texas,49622,52405,5.61
Becker,Minnesota,32549,34371,5.6
Strafford,New Hampshire,123196,130090,5.6
Isanti,Minnesota,37855,39966,5.58
Wrangell City and Borough,Alaska,2371,2503,5.57
Centre,Pennsylvania,154218,162805,5.57
Eau Claire,Wisconsin,99014,104534,5.57
Jackson,Texas,14091,14874,5.56
Coffee,Tennessee,52772,55700,5.55
Pacific,Washington,20878,22036,5.55
Eagle,Colorado,52104,54993,5.54
Marion,Indiana,904602,954670,5.53
Aiken,South Carolina,160531,169401,5.53
Starr,Texas,61147,64525,5.52
Douglas,Minnesota,35987,37964,5.49
Cooke,Texas,38474,40574,5.46
Allen,Indiana,355939,375351,5.45
Josephine,Oregon,82875,87393,5.45
Licking,Ohio,166705,175769,5.44
Custer,South Dakota,8276,8726,5.44
Oconee,South Carolina,74341,78374,5.43
Lewis,Washington,75505,79604,5.43
Benton,Minnesota,38464,40545,5.41
Fayette,Tennessee,38428,40507,5.41
Habersham,Georgia,43064,45388,5.4
Union,Mississippi,27142,28606,5.39
Morgan,Georgia,17894,18853,5.36
Allen,Kentucky,20048,21122,5.36
Kenai Peninsula Borough,Alaska,55561,58533,5.35
Wakulla,Florida,30825,32461,5.31
Sequatchie,Tennessee,14127,14876,5.3
Live Oak,Texas,11556,12166,5.28
El Dorado,California,181133,190678,5.27
