"mu","phi","sigma"
0.01254755,0.623180122,0.008957609
0.01155241,0.701004141,0.005912128
0.01382363,0.387797324,0.005870763
0.01650221,0.672266432,0.004972983
0.01476187,0.459316166,0.00568735
0.02129114,0.750736714,0.006340502
0.009588837,0.998087453,0.006978853
0.001302239,0.896554712,0.005656269
0.01615538,0.333743873,0.004990156
0.01502259,0.391493615,0.007949793
0.01411899,0.196160624,0.009751734
0.003290641,0.781326605,0.007018424
0.02229123,0.985719229,0.012434299
0.01580326,0.531168205,0.006077305
0.01817608,0.736737981,0.008814042
0.008789857,0.86523713,0.005036265
0.00395071,0.705862034,0.008316172
0.01522064,0.278668734,0.004621107
0.01018055,0.80071977,0.006632043
0.01605093,0.14998386,0.007363343
0.02471254,0.625176678,0.00685977
0.01327264,0.467967403,0.005963622
0.01880039,0.701168366,0.006850881
0.01649414,0.332388516,0.005108899
0.01460922,0.631502875,0.006659993
0.01743858,0.266795003,0.006657725
0.02205165,0.816098736,0.005300546
0.0149027,0.224034426,0.004673054
0.01615136,0.654337356,0.005598098
0.01089913,0.679596797,0.007686037
0.01890233,0.300918564,0.006613622
0.009040269,0.91182663,0.007388521
0.01191887,0.585683683,0.008425661
0.01519515,0.675158029,0.006129691
0.01765234,0.091504086,0.007729541
0.01375964,0.403517543,0.005508436
0.01340413,0.181093896,0.008624796
0.01525162,0.232996014,0.005303756
0.01398483,0.403050551,0.005889221
0.01374867,0.28834556,0.007063236
0.01398002,0.401672795,0.006769897
0.01691183,0.527359586,0.007198231
0.003307682,0.976226103,0.00524618
0.007871372,0.85325873,0.010226333
0.01513695,0.521229015,0.006409461
0.0008854828,0.804798018,0.006576718
0.005018417,0.869927015,0.00579405
0.01108415,0.484946526,0.006245156
0.01046161,0.991784284,0.007172067
0.01049527,0.932876627,0.00678599
0.007515615,0.857020049,0.011318031
0.01303658,0.364895347,0.008457606
0.009540061,0.660736212,0.005763523
0.01157865,0.623081174,0.008193562
0.01840299,0.566321144,0.005768548
0.01511927,0.301733542,0.007659106
0.01388232,0.681455209,0.006680142
0.003279739,0.878938266,0.005237591
0.01147015,0.732918812,0.006568501
0.02359426,0.620186871,0.005819578
0.01466582,0.014691857,0.006770624
0.01923712,0.568135708,0.006468083
0.01052061,0.741132269,0.006721515
0.0127356,0.606866466,0.00728794
0.0006631459,0.934602949,0.006882301
0.01199823,0.965439303,0.008512873
0.01400166,0.935131482,0.00603052
0.01524555,0.076200216,0.0055547
0.01683022,0.357409986,0.006255503
0.008163654,0.965960739,0.005507445
0.006862162,0.890943114,0.007211952
0.01411055,0.324321759,0.005816821
0.01426032,0.377816171,0.005817785
0.005606975,0.969827018,0.005497321
0.01277506,0.578611684,0.006399971
0.0146674,0.105996433,0.005074742
0.01569631,0.195000898,0.010333832
0.01878116,0.237954792,0.007720129
0.01151925,0.644719239,0.005962306
0.007115781,0.810833543,0.006372885
0.01374798,0.081375512,0.005287952
0.01279836,0.034955785,0.008344688
0.0125052,0.271063788,0.006164889
0.02186971,0.480961918,0.006455072
0.01253457,0.747801614,0.006105147
0.01179436,0.667134753,0.00641361
0.004768136,0.979807012,0.008723672
0.01414629,0.209014782,0.010830574
0.01995822,0.791407159,0.007812983
0.01303685,0.624656914,0.004652077
0.01518012,0.310142032,0.019064851
0.01650529,0.597884625,0.005999268
0.01635005,0.542666836,0.004734989
0.01618573,0.439411942,0.00468621
0.01245806,0.676306869,0.008212517
0.007390487,0.916696593,0.008629367
0.01597628,0.481811288,0.007623524
0.01588719,0.747716496,0.004786012
0.001856237,0.785909426,0.008145468
0.008114778,0.69125601,0.009472313
0.01244398,0.412786696,0.008481255
0.01708868,0.581889797,0.005786006
0.01586983,0.42198762,0.007619572
0.007224744,0.891531572,0.009111327
0.01924701,0.694723277,0.005910889
0.002980548,0.951540243,0.006069469
0.0004126315,0.926878971,0.005140442
0.01252149,0.777331297,0.006261028
0.009851108,0.91393268,0.007367847
0.01201797,0.878593144,0.007838804
0.01438967,0.494526399,0.005810275
0.01468545,0.002289901,0.006647031
0.01878682,0.387202595,0.005632617
3.607007e-06,0.784521723,0.010516853
0.01582582,0.84426052,0.009185101
0.01012512,0.706613744,0.006565903
0.01612362,0.273824107,0.006562624
0.01029993,0.715318594,0.004450853
0.008966721,0.450287128,0.007347299
0.01425157,0.9703251,0.007866284
0.01152569,0.602506263,0.006406522
0.01122941,0.475792654,0.00812256
0.01300344,0.520919493,0.006470157
0.009126207,0.936936218,0.006425403
0.01558686,0.567903505,0.00643071
0.01515755,0.5097355,0.006754934
0.01936855,0.094780188,0.005149393
0.0005838085,0.830530791,0.006369398
0.006137376,0.368508044,0.010069008
0.01802959,0.150538667,0.005034443
0.002620772,0.956684489,0.006857728
0.001016278,0.93544979,0.006195404
0.01647643,0.601837369,0.009130026
0.01848901,0.310420719,0.006391787
0.01425244,0.44459003,0.004970106
0.01573407,0.289043241,0.006886242
0.01710713,0.676284337,0.007736121
0.01422743,0.720713871,0.007135101
0.00393111,0.794280698,0.006314891
0.01449626,0.429658728,0.007183542
0.01061972,0.287828106,0.004950476
0.01508522,0.572044924,0.005414306
0.01175826,0.511707113,0.006574283
0.01995761,0.328024965,0.005255448
0.02782382,0.841314126,0.005845354
0.01806698,0.327584298,0.006755886
0.01484961,0.979837807,0.007968166
0.01620438,0.276278857,0.005014931
0.01722471,0.953901998,0.006885777
0.0129939,0.411518523,0.005457804
0.01644893,0.034755023,0.005804493
0.01130333,0.803265341,0.006202313
0.002175809,0.861956313,0.006193441
0.01647449,0.689152891,0.008519897
0.01043039,0.77447774,0.005914135
0.005815347,0.642376314,0.00997128
0.006396227,0.409763547,0.009261039
0.0181881,0.419037687,0.004959948
0.01643003,0.575250767,0.006159652
0.0221731,0.953858705,0.006663515
0.01239979,0.505075602,0.00671081
0.01152408,0.979977961,0.008808515
0.01276039,0.010233426,0.011631975
0.01468556,0.192484866,0.006787018
0.01672139,0.42120842,0.005183474
0.01162922,0.288290954,0.006306471
0.01576406,0.375768853,0.009093826
0.01393855,0.438834501,0.006710081
0.005940398,0.866945919,0.007663405
0.01068606,0.668117195,0.005276272
0.01705866,0.148104198,0.005327842
0.0122831,0.380326336,0.007021513
0.01611922,0.233474623,0.005210735
0.01892784,0.787192197,0.007519064
0.01171318,0.532076758,0.006219465
0.01212306,0.270592209,0.007893724
0.01599505,0.945840164,0.00611994
0.02927686,0.98055973,0.008876276
0.009600348,0.959084845,0.007783004
0.01994037,0.381648781,0.007108152
0.0146994,0.187089401,0.00728927
0.01100436,0.470773141,0.006832706
0.01124593,0.787718707,0.009517065
0.01030128,0.74957028,0.006082231
0.01438842,0.102060944,0.003850883
0.010547,0.89007212,0.006772088
0.0183964,0.688127568,0.006653386
0.01666429,0.371277468,0.007146538
0.000903407,0.89590269,0.008576152
0.0186807,0.522054967,0.0067913
0.007451729,0.837498243,0.007140157
0.01767859,0.80667778,0.006737008
0.02052302,0.115220471,0.005864663
0.01884409,0.052339574,0.009442197
0.01027784,0.741767676,0.008016626
0.01395212,0.550150432,0.006988111
0.01297553,0.797935627,0.009006135
0.01430914,0.096564896,0.007145099
0.01646878,0.557868837,0.004713846
0.003456445,0.95170933,0.00597558
0.01456507,0.373272989,0.006127027
0.02009952,0.401666073,0.006039776
0.006529659,0.932093972,0.007505694
0.01592163,0.240044771,0.00602547
0.02042348,0.721115001,0.006325428
0.0151745,0.24629633,0.00668214
0.0130904,0.702011257,0.006485724
0.01064318,0.414155685,0.006674488
0.01292201,0.644483137,0.005791211
0.01142495,0.789444787,0.007569323
0.005979973,0.887804857,0.006659513
0.02049204,0.413230141,0.005320066
0.007617474,0.807375002,0.008526543
0.01577856,0.195675066,0.007112469
0.01242643,0.737064992,0.006826924
0.01271796,0.985560677,0.007124832
0.01125438,0.937129031,0.005956085
